TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
5136.1,T,104847.0,4645.42725,-11727.71387,594.08,-0.04,2.95,57.8,3.28,18,21.95,17.44,32.42,94.40,596.53,-0.08,4.04,91.49,0.00,Wait,Wait,Wait
5136.6,T,104847.5,4645.42773,-11727.71191,594.05,0.07,4.13,63.5,3.34,17,21.95,17.44,32.41,94.40,596.44,-0.10,4.04,91.24,0.00,Wait,Wait,Wait
5137.1,T,104848.0,4645.42822,-11727.71094,594.16,0.11,5.17,69.3,3.34,17,21.94,17.44,32.41,94.40,596.00,-0.30,4.04,91.49,0.00,Wait,Wait,Wait
5137.6,T,104848.5,4645.42822,-11727.70801,594.22,0.11,5.84,76.4,3.34,18,21.93,17.44,32.41,94.40,595.82,-0.31,4.04,91.61,0.00,Wait,Wait,Wait
5138.1,T,104849.0,4645.42822,-11727.70605,594.36,0.19,6.43,85.9,3.34,17,21.93,17.44,32.42,94.40,596.36,0.03,4.05,91.85,0.00,Wait,Wait,Wait
5138.6,T,104849.5,4645.42822,-11727.70312,594.43,0.20,7.15,95.3,3.34,17,21.92,17.44,32.42,94.39,596.89,0.29,4.05,91.73,0.00,Wait,Wait,Wait
5139.1,T,104850.0,4645.42773,-11727.70020,594.60,0.29,7.65,100.3,3.34,18,21.92,17.44,32.41,94.39,597.51,0.53,4.05,92.46,0.00,Wait,Wait,Wait
5139.6,T,104850.5,4645.42627,-11727.69727,594.66,0.16,8.27,120.4,3.42,18,21.91,17.44,32.41,94.39,597.60,0.44,4.05,91.73,0.00,Wait,Wait,Wait
5140.1,T,104851.0,4645.42529,-11727.69531,594.77,0.31,8.85,125.4,3.42,18,21.90,17.44,32.41,94.38,598.22,0.64,4.05,91.73,0.00,Wait,Wait,Wait
5140.6,T,104851.5,4645.42383,-11727.69141,595.01,0.33,9.52,125.6,3.42,18,21.89,17.44,32.42,94.37,598.57,0.66,4.05,91.85,0.00,Wait,Wait,Wait
5141.1,T,104852.0,4645.42236,-11727.68848,595.31,0.48,9.99,126.2,3.34,18,21.87,17.44,32.42,94.36,599.90,1.16,4.04,91.61,0.00,Wait,Wait,Wait
5141.6,T,104852.5,4645.42041,-11727.68555,595.61,0.40,10.61,127.2,3.34,18,21.86,17.44,32.42,94.36,599.64,0.74,4.05,91.85,0.00,Wait,Wait,Wait
5142.1,T,104853.0,4645.41895,-11727.68164,595.82,0.36,11.07,125.9,3.34,18,21.84,17.44,32.42,94.34,601.41,1.45,4.05,91.73,0.00,Wait,Wait,Wait
5142.6,T,104853.5,4645.41699,-11727.67871,596.22,0.44,11.48,126.5,3.34,18,21.83,17.44,32.41,94.34,601.85,1.31,4.05,91.85,0.00,Wait,Wait,Wait
5143.1,T,104854.0,4645.41504,-11727.67480,596.61,0.52,11.83,126.0,3.28,17,21.81,17.44,32.41,94.33,602.38,1.24,4.06,92.95,0.00,Wait,Wait,Wait
5143.6,T,104854.5,4645.41309,-11727.67090,596.93,0.72,12.33,125.7,3.28,18,21.79,17.44,32.41,94.32,603.18,1.33,4.04,91.61,0.00,Wait,Wait,Wait
5144.1,T,104855.0,4645.41113,-11727.66699,597.31,0.73,12.62,125.4,3.28,17,21.77,17.44,32.41,94.32,603.63,1.22,4.04,91.61,0.00,Wait,Wait,Wait
5144.6,T,104855.5,4645.40918,-11727.66211,597.62,0.60,12.93,124.9,3.28,17,21.75,17.44,32.42,94.30,605.22,1.72,4.05,91.98,0.00,Wait,Wait,Wait
5145.1,T,104856.0,4645.40723,-11727.65820,597.96,0.62,13.41,124.1,3.28,17,21.72,17.44,32.41,94.30,604.78,1.06,4.05,91.73,0.00,Wait,Wait,Wait
5145.6,T,104856.5,4645.40527,-11727.65332,598.24,0.46,13.63,122.7,3.28,17,21.70,17.44,32.41,94.31,603.98,0.40,4.05,91.98,0.00,Wait,Wait,Wait
5146.1,T,104857.0,4645.40332,-11727.64941,598.47,0.43,13.96,121.2,3.28,17,21.67,17.44,32.41,94.30,605.13,0.87,4.05,92.10,0.00,Wait,Wait,Wait
5146.6,T,104857.5,4645.40137,-11727.64453,598.61,0.20,14.39,119.8,3.28,17,21.64,17.44,32.41,94.29,605.84,1.02,4.05,91.73,0.00,Wait,Wait,Wait
5147.1,T,104858.0,4645.39941,-11727.63867,598.60,0.17,14.83,118.4,3.28,17,21.62,17.44,32.42,94.30,605.40,0.54,4.04,91.49,0.00,Wait,Wait,Wait
5147.6,T,104858.5,4645.39795,-11727.63379,598.68,0.12,15.23,117.0,3.20,17,21.59,17.45,32.42,94.28,607.17,1.30,4.05,91.73,0.00,Wait,Wait,Wait
5148.1,T,104859.0,4645.39600,-11727.62793,598.69,0.09,15.64,115.7,3.14,18,21.56,17.45,32.41,94.26,608.95,1.86,4.05,92.46,0.00,Wait,Wait,Wait
5148.6,T,104859.5,4645.39404,-11727.62207,598.58,0.10,16.12,114.4,3.06,18,21.53,17.45,32.41,94.27,607.79,0.82,4.04,91.61,0.00,Wait,Wait,Wait
5149.1,T,104900.0,4645.39209,-11727.61621,598.44,-0.04,16.75,114.2,3.00,18,21.49,17.45,32.41,94.26,608.77,1.10,4.05,91.85,0.00,Wait,Wait,Wait
5149.6,T,104900.5,4645.39062,-11727.61035,598.22,-0.04,17.02,112.3,3.00,17,21.46,17.45,32.41,94.23,610.99,1.93,4.04,91.49,0.00,Wait,Wait,Wait
5150.1,T,104901.0,4645.38867,-11727.60352,598.28,0.03,17.40,111.9,3.00,17,21.43,17.44,32.41,94.25,609.57,0.75,4.05,91.98,0.00,Wait,Wait,Wait
5150.6,T,104901.5,4645.38721,-11727.59766,598.19,-0.36,17.70,110.6,3.00,18,21.39,17.44,32.41,94.22,611.88,1.74,4.05,91.73,0.00,Wait,Wait,Wait
5151.1,T,104902.0,4645.38525,-11727.59082,598.38,0.20,18.04,111.0,3.00,18,21.35,17.45,32.42,94.20,613.83,2.27,4.05,91.85,0.00,Wait,Wait,Wait
5151.6,T,104902.5,4645.38379,-11727.58398,598.18,0.02,18.84,109.0,3.00,17,21.32,17.45,32.42,94.22,612.32,0.94,4.05,92.10,0.00,Wait,Wait,Wait
5152.1,T,104903.0,4645.38184,-11727.57617,598.05,-0.30,19.13,108.1,3.06,16,21.28,17.45,32.41,94.21,612.85,0.98,4.04,91.61,0.00,Wait,Wait,Wait
5152.6,T,104903.5,4645.38037,-11727.56934,597.71,-0.56,19.54,108.0,3.06,17,21.24,17.45,32.41,94.22,611.79,0.20,4.05,91.73,0.00,Wait,Wait,Wait
5153.1,T,104904.0,4645.37891,-11727.56152,597.22,-0.82,20.05,107.8,3.06,18,21.21,17.45,32.41,94.20,613.65,1.06,4.04,91.24,0.00,Wait,Wait,Wait
5153.6,T,104904.5,4645.37695,-11727.55469,596.62,-1.06,20.54,107.7,3.06,18,21.17,17.45,32.41,94.23,611.08,-0.50,4.05,92.34,0.00,Wait,Wait,Wait
5154.1,T,104905.0,4645.37549,-11727.54688,596.09,-1.10,20.78,108.3,3.06,17,21.14,17.45,32.41,94.21,613.38,0.78,4.05,91.98,0.00,Wait,Wait,Wait
5154.6,T,104905.5,4645.37354,-11727.53906,595.46,-1.24,21.08,108.4,3.06,16,21.11,17.45,32.41,94.21,613.03,0.41,4.04,91.24,0.00,Wait,Wait,Wait
5155.1,T,104906.0,4645.37158,-11727.53027,594.80,-1.15,21.34,107.9,2.98,16,21.07,17.45,32.42,94.21,613.03,0.31,4.05,91.73,0.00,Wait,Wait,Wait
5155.6,T,104906.5,4645.37012,-11727.52246,594.32,-1.13,21.43,107.7,3.06,16,21.04,17.46,32.41,94.21,612.67,0.05,4.04,91.37,0.00,Wait,Wait,Wait
5156.1,T,104907.0,4645.36816,-11727.51465,593.67,-1.14,21.72,107.9,3.06,16,21.01,17.46,32.41,94.21,612.94,0.17,4.04,91.61,0.00,Wait,Wait,Wait
5156.6,T,104907.5,4645.36621,-11727.50684,592.94,-1.36,21.93,107.6,3.06,16,20.98,17.46,32.42,94.21,612.67,-0.00,4.04,91.24,0.00,Wait,Wait,Wait
5157.1,T,104908.0,4645.36475,-11727.49805,592.17,-1.30,22.13,107.1,3.06,16,20.95,17.46,32.41,94.21,612.85,0.09,4.05,91.73,0.00,Wait,Wait,Wait
